# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 149 stories read; 15454 spellings.
carry statement	1	
carry step	1	
carry sticky	1	
carry stuffed	1	
carry swing	1	
carry tangle	1	
carry the	3	
carry these	1	
carry those	1	
carry to	10	
carry treat	1	
carry treats	1	
carry under	5	
carry undres	4	
carry undressed	3	
carry up	42	
carry using	1	
carry web	1	
carry webbing	1	
carry webs	1	
carry whiz	1	
carry whizz	1	
carry with	28	
carry your	1	
carve	8	carve
carve against	1	
carve apart	1	
carve down	1	
carve in	3	
carve off	1	
carve on	3	
carve out	1	carve out
carve over	1	
carve up	1	carve up
carve with	4	
cas	1	
cash	2	cash
caskly	1	
cast	24	cast
cast above	1	
cast against	1	
cast alongside	1	
cast anghofio	1	
cast animata	1	
cast at	9	
cast away	7	cast away
cast backatya	1	
cast bearing	1	
cast beside	1	
cast by	1	
cast collox	1	
cast curse	1	
cast denox	1	
cast derive	1	
cast destructor	1	
cast dirox	1	
cast distance	1	
cast down	4	cast down
cast encandy	1	
cast enfuego	1	
cast engarde	1	
cast ensnare	1	
cast exfil	1	
cast exklip	1	
cast extract	1	
cast from	2	
cast front	1	
cast identity	1	
cast in	4	
cast increment	1	
cast intensus	1	
cast into	1	
cast inverse	1	
cast leviupup	1	
cast magic	1	
cast mallox	1	
cast me	1	
cast myself	1	
cast near	1	
cast next	1	
cast of	1	
cast off	6	cast off
cast oma	1	
cast on	8	cast on
cast onewish	1	
cast onto	1	
cast out	8	cast out
cast over	3	
cast overboard	1	
cast potpourri	1	
cast quadox	1	
cast remox	1	
cast shrinky	1	
cast slu	1	
cast spell	3	
cast spells	1	
cast telox	1	
cast through	3	
cast to	4	
cast tranquila	1	
cast travel	1	
cast under	1	
cast upon	1	
cast verdare	1	
cast virox	1	
cast with	3	
cast xyzzy	3	
cast youdead	1	
castles	1	
casu	1	
casu marzu	1	
cat	6	cat
catastrop	1	
catc	6	
catch	41	catch
catch all	1	
catch apart	4	
catch at	1	
catch behind	2	
catch brows	1	
catch cellar	1	
catch clothes	1	
catch crabs	1	
catch crap	1	
catch down	8	
catch dresse	1	
catch dressed	2	
catch drunk	2	
catch everything	1	
catch eyebrow	1	
catch eyebrows	1	
catch for	1	
catch from	25	
catch in	27	
catch inventory	2	
catch leak	1	
catch matches	1	
catch my	1	
catch nap	2	
catch off	24	
catch on	21	catch on
catch one	1	
catch out	20	catch out
catch over	1	
catch piss	1	
catch pop	1	
catch rat	1	
catch rest	1	
catch shelter	1	
catch shit	1	
catch some	1	
catch swing	1	
catch the	1	
catch these	1	
catch those	1	
catch to	2	
catch under	1	
catch undres	1	
catch undressed	2	
catch up	20	catch up
catch whiz	1	
catch whizz	1	
catch with	20	
caution	1	caution
caution about	1	
cavort	10	cavort
